roomNumber,FloorHeight,Width,Length,Rotation,SouthContextOffset,EastContextOffset,NorthContextOffset,WestContextOffset,SouthContextHeight,EastContextHeight,NorthContextHeight,WestContextHeight,SouthShadingDepth,EastShadingDepth,NorthShadingDepth,WestShadingDepth,NorthGlazingRatio,WestGlazingRatio,SouthGlazingRatio,EastGlazingRatio,NorthWindowHeight,WestWindowHeight,SouthWindowHeight,EastWindowHeight,NorthWindowSill,WestWindowSill,SouthWindowSill,EastWindowSill,sDA1,sDA2,sDA3,sDA4,sDA5,sDA6,sDA7,sDA8,sDA9,UDI1,UDI2,UDI3,UDI4,UDI5,UDI6,UDI7,UDI8,UDI9,ASE1,ASE2,ASE3,ASE4,ASE5,ASE6,ASE7,ASE8,ASE9
295,9,18,26,44,39,42,24,13,3,22,71,100,0.61,2.2,0,0.24,0.7,0.8,0.5,0.3,8,9,2,10,4,2,4,1,100,100,100,100,0,100,100,100,100,20.651961,60.235294,29.20098,66.598039,0,83.710784,26.838235,73.171569,40.838235,92.65,32.35,26.96,68.14,0,3.92,97.06,89.71,93.14
296,3,35,18,-42,57,37,9,4,70,82,95,84,0.59,2.39,2.99,2.42,0.2,0.8,0.6,0.7,9,3,9,1,4,2,2,1,18.18,0,100,0,0,100,40.32,32.61,100,54.44664,10.434783,81.375494,2.656126,0,83.063241,76.304348,59.771739,74.952899,4.74,0,5.14,0,0,4.74,3.16,0,4.71
297,3,33,26,-22,57,38,12,70,73,82,95,105,1.79,2.48,2.53,2.43,0.2,0.6,0.5,0.3,9,9,8,9,2,2,5,1,40.62,31.65,90.91,0,0,48.13,19.33,7.28,76.74,79.117647,66.753501,89.379679,5.906417,0,88.264706,63.277311,36.10084,92.278075,5.6,4.2,4.55,0,0,0,3.36,1.12,1.34
298,9,18,17,44,38,41,24,4,3,22,59,78,2.78,2.21,0.34,2.36,0.5,0.8,0.6,0.8,8,3,6,4,4,2,5,1,100,52.27,100,100,0,100,100,100,100,48.272727,87.984848,63.931818,68.106061,0,80.719697,9.348485,31.212121,11.545455,93.18,0,2.27,78.03,0,0,100,100,100
299,8,35,29,-42,57,42,9,5,7,82,99,80,0.5,2.38,2.41,2.42,0.2,0.8,0.6,0.7,9,9,9,6,4,2,1,1,74.37,8.01,100,1.37,0,100,100,100,100,86.732265,39.89016,54.510297,19.478261,0,62.19222,79.755149,86.688787,32.803204,41.42,0.69,20.59,0.46,0,11.44,32.72,17.39,34.1
300,9,18,17,44,39,41,24,4,3,22,70,83,0.66,2.21,0.04,0.04,0.6,0.8,0.6,0.8,8,3,6,4,4,2,2,1,100,100,100,100,0,100,100,100,100,27.515152,87.462121,24.515152,58.659091,0,45,8.174242,31.424242,6.863636,97.73,3.79,32.58,85.61,0,31.06,100,100,100
301,9,18,17,44,38,41,24,4,3,22,59,78,2.78,2.21,0.34,2.36,0.5,0.8,0.6,0.8,8,3,6,4,4,2,5,1,100,52.27,100,100,0,100,100,100,100,48.272727,87.984848,63.931818,68.106061,0,80.719697,9.348485,31.212121,11.545455,93.18,0,2.27,78.03,0,0,100,100,100
302,3,33,26,-22,57,38,12,70,73,82,95,105,1.79,2.48,2.53,2.43,0.2,0.6,0.5,0.3,9,9,8,9,2,2,5,1,40.62,31.65,90.91,0,0,48.13,19.33,7.28,76.74,79.117647,66.753501,89.379679,5.917112,0,88.270053,63.316527,36.10084,92.278075,5.6,4.2,4.55,0,0,0,3.36,1.12,1.34
303,9,18,16,44,38,41,24,4,3,22,60,78,2.69,2.19,0.33,2.78,0.7,0.8,0.6,0.7,8,2,2,4,4,2,5,1,100,38.33,100,100,0,100,100,100,100,33.15,83.725,72.941667,48.55,0,84.566667,7.158333,33.408333,13.825,99.17,0,0,91.67,0,0,100,100,100
304,3,33,22,-22,57,38,12,70,73,82,95,105,1.79,2.48,2.53,2.43,0.2,0.6,0.6,0.3,9,9,8,9,2,2,5,1,40.82,31.63,100,0,0,77.92,18.83,10.71,98.05,78.401361,65.418367,86.758503,7.211039,0,92.051948,64.162338,40.646104,90.675325,6.12,4.42,4.42,0,0,0,3.57,1.62,1.3
305,9,18,18,44,39,41,24,4,3,22,71,83,0.59,2.2,0.03,0.2,0.7,0.8,0.6,0.7,8,2,2,4,4,2,2,1,100,100,100,100,0,100,100,100,100,24.361111,86.305556,23.848485,52.833333,0,43.333333,7.611111,31.652778,7.236111,99.31,2.08,33.33,88.19,0,30.56,100,100,100
306,3,33,16,44,55,41,12,4,3,29,91,83,0.59,2.2,0.03,0.24,0.7,0.6,0.6,0.6,9,3,7,4,5,1,5,1,97.73,15,100,59.09,0,100,100,35.45,100,80.531818,38.727273,65.122727,87.745455,0,77.022727,72.031818,55.881818,60.727273,25,0.45,14.55,15.91,0,13.18,52.27,7.73,23.64
307,3,33,26,-22,57,38,12,70,73,82,95,105,1.79,2.48,2.53,2.43,0.2,0.6,0.5,0.3,9,9,8,9,2,2,5,1,40.62,31.65,90.91,0,0,48.13,19.33,7.28,77.54,79.117647,66.753501,89.379679,5.914439,0,88.270053,63.277311,36.10084,92.275401,5.6,4.2,4.55,0,0,0,3.36,1.12,1.34
308,3,33,26,-42,53,41,9,4,70,79,95,98,0.61,2.41,0.17,2.43,0.1,0.8,0.5,0.3,9,2,9,9,4,2,5,1,14.71,0,73.53,0,0,55.35,12.83,4.28,79.68,52.783422,10.625668,88.187166,4.291444,0,86.687166,54.240642,33.462567,87.786096,7.49,0,2.14,0.8,0,1.6,2.14,0,2.14
309,9,18,18,44,39,41,24,4,3,22,71,83,0.59,2.2,0.03,0.2,0.7,0.8,0.6,0.7,8,2,2,4,4,2,2,1,100,100,100,100,0,100,100,100,100,24.361111,86.305556,23.848485,52.833333,0,43.333333,7.611111,31.652778,7.236111,99.31,2.08,33.33,88.19,0,30.56,100,100,100
310,3,33,22,-22,57,38,12,70,73,82,99,105,1.79,2.48,2.67,2.43,0.2,0.6,0.6,0.3,9,9,8,9,2,2,5,1,40.82,31.29,100,0,0,76.95,18.51,10.39,99.03,77.986395,65.421769,86.867347,6.688312,0,92.136364,63.107143,40.233766,90.863636,5.44,4.42,4.42,0,0,0,3.25,1.62,1.3
