roomNumber,FloorHeight,Width,Length,Rotation,SouthContextOffset,EastContextOffset,NorthContextOffset,WestContextOffset,SouthContextHeight,EastContextHeight,NorthContextHeight,WestContextHeight,SouthShadingDepth,EastShadingDepth,NorthShadingDepth,WestShadingDepth,NorthGlazingRatio,WestGlazingRatio,SouthGlazingRatio,EastGlazingRatio,NorthWindowHeight,WestWindowHeight,SouthWindowHeight,EastWindowHeight,NorthWindowSill,WestWindowSill,SouthWindowSill,EastWindowSill,sDA1,sDA2,sDA3,sDA4,sDA5,sDA6,sDA7,sDA8,sDA9,UDI1,UDI2,UDI3,UDI4,UDI5,UDI6,UDI7,UDI8,UDI9,ASE1,ASE2,ASE3,ASE4,ASE5,ASE6,ASE7,ASE8,ASE9
367,9,15,70,-14.7,19,20,4,27,340,181,376,341,0.45,2.23,1.72,1.6,0.7,0.2,0.6,0.3,2,0,3,3,3,0,1,3,58.7,35.51,90.87,0,0,43.04,77.17,49.28,92.39,89.309179,73.81401,68.134783,22.222222,0,43.83913,92.828261,79.859903,66.421739,2.9,10.87,44.78,0,0,25,0.22,1.45,61.09
368,9,83,71,-20.3,19,20,4,12,307,179,135,341,0.33,1.85,1.67,1.62,0.7,0.3,0.6,0.3,9,0,4,3,3,0,5,3,12.22,4.91,66.65,0,0,29.25,24.84,4.33,91.72,50.013926,12.362089,88.862282,21.149323,0,61.071954,70.584913,23.832108,83.294778,0,0.93,19.34,0,0,5.07,0.19,0,41.01
369,9,18,70,-21,32,39,23,12,308,179,124,341,0.54,2.23,1.67,1.6,0.4,0.2,0.7,0.3,9,0,4,3,2,0,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
370,9,11,70,-16.1,16,19,12,13,337,181,377,341,0.55,2.37,1.72,1.62,0.7,0.2,0.7,0.3,3,0,4,3,3,4,5,3,39.44,0,80.75,16.46,0,40.06,73.6,37.58,89.44,81.478261,52.599379,74.319876,34.60559,0,43.071429,91.708075,75.857143,70.549689,0,0,39.75,0,0,25.47,0,0.31,54.66
371,9,83,89,-21,19,38,4,27,307,179,124,341,0.54,1.85,1.67,1.6,0.7,0.3,0.7,0.3,9,0,4,2,3,5,5,4,16.24,0.03,76.18,0,0,28.04,33.37,13.71,85.95,71.114022,37.53282,88.663174,25.92265,0,55.41849,77.714638,40.051464,82.535285,0,0,15.84,0,0,4.44,0.12,0.62,37.5
372,9,11,70,-16.1,16,37,12,27,340,181,377,341,0.44,2.23,1.72,1.6,0.7,0.2,0.7,0.3,3,0,4,3,3,4,1,3,68.01,48.45,85.71,19.25,0,38.82,87.58,70.81,96.58,92.248447,81.248447,71.636646,39.381988,0,37.524845,92.124224,88.468944,61.583851,0,7.76,43.17,0,0,26.09,0.62,27.02,72.98
373,9,83,89,-20.3,19,20,12,12,307,179,123,341,0.34,1.86,1.67,1.62,0.7,0.3,0.7,0.3,9,0,4,2,3,0,4,3,26.84,4.04,59.6,10.35,0,25.7,41.14,2.06,78.83,63.935901,12.173498,84.95624,41.091217,0,52.475193,81.518336,21.932512,82.591063,0,0.03,18.21,0,0,5.36,0.09,0,32.23
374,9,25,70,-16.1,16,38,10,39,340,181,377,341,0.44,2.37,1.72,1.82,0.7,0.2,0.7,0.3,3,0,4,3,2,4,5,3,84.92,58.15,91.98,23.91,0,47.01,91.85,79.76,95.92,92.836957,83.001359,75.138587,54.35462,0,62.679348,91.838315,87.334239,67.523098,2.17,6.66,47.55,0,0,20.79,4.48,10.46,69.43
375,9,83,71,-20.3,19,20,4,12,307,179,135,341,0.33,1.85,1.67,1.62,0.7,0.3,0.6,0.3,9,0,4,3,3,0,5,3,12.22,4.91,67,0,0,29.36,24.64,4.56,91.91,50.013926,12.387234,88.840232,21.072727,0,61.099033,70.569439,23.840619,83.26499,0,0.93,19.34,0,0,5.07,0.19,0,41.01
376,9,15,70,-14.7,19,20,4,27,340,181,376,341,0.45,2.23,1.72,1.6,0.7,0.2,0.6,0.3,2,0,3,3,3,0,1,3,58.7,35.51,90.87,0,0,43.04,77.17,49.28,92.39,89.309179,73.81401,68.134783,22.222222,0,43.83913,92.83913,79.859903,66.421739,2.9,10.87,44.78,0,0,25,0.22,1.45,61.09
